policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture,rmse_light,rmse_ventilation
aoi,good,2034,0.19892023120413016,54.80361923397381,47.5,57.06697850015421,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5665948262900234,0.02191827268857533,0.03770837224242795,0.03580414713362605,0.37519036934318895,0.1563053995269393
risk,good,2034,0.19459697806435236,53.27803798919849,26.944444444444443,21.238651181209402,281,5058,714.9599999999999,0.0,233,115.30416666666667,360.0,0.7109790664769358,0.3111782306494537,0.045590566754745154,0.040803410659532045,0.06975594078828967,0.37564002548393033,0.3246136940501632
cvoi,good,2034,0.18454689691950443,48.24950589841418,26.666666666666668,21.25502715181006,359,6460,883.1999999999999,0.0,1768,11.534722222222221,73.0,0.883674838115836,0.31383442040034143,0.02617274750578103,0.04221089533431851,0.06109360039594692,0.37672874014294205,0.28724097773769675
periodic_all,good,2035,0.2019569377604891,58.844152420810964,30.833333333333332,18.68422426030114,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.34355045122900596,0.08749860601824284,0.06103694825051474,0.10498167160370607,0.38170165758744723,0.23297229187401772
round_robin,good,2035,0.19069739301658165,52.434637325131156,44.44444444444444,45.996189549997375,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.5078910651252292,0.021484649635093177,0.0390697638106397,0.03430058324557692,0.38145997131624293,0.15997832496670786
error_trigger,good,2035,0.2154309539845641,59.49580208961569,31.11111111111111,26.010471779585735,360,6456,882.72,0.0,1800,59.27962962962963,360.0,0.49319523013241096,0.32372323697600713,0.10916324977064845,0.06103694825051474,0.2591298459062895,0.3826272003281592,0.15690524267576558
aoi,good,2035,0.20147380979840343,55.40254646083448,50.833333333333336,58.85000351511561,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5722817187754091,0.02123684185380889,0.039032506997241506,0.03361230034342765,0.3814795531518639,0.16119993766866944
risk,good,2035,0.21408735425710823,59.7278538112645,30.833333333333332,22.089654012238082,283,5094,719.28,0.0,266,105.93981481481482,360.0,0.6605207925864056,0.3195196477595474,0.08749860601824284,0.06103694825051474,0.10498167160370607,0.38170165758744723,0.329785594323191
cvoi,good,2035,0.19051034302962377,50.19468532405627,30.833333333333332,20.830595963565134,359,6460,883.1999999999999,0.0,1774,11.833333333333334,75.0,0.881782272138067,0.3157525849633348,0.04876090581068367,0.051850305294522614,0.05966340319114256,0.38195245302766234,0.28508240589039674
periodic_all,good,2036,0.21804440851500104,63.25173797819096,36.94444444444444,26.2755950338767,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.34483862229733153,0.06713108454104809,0.058218748630454835,0.060915193946525316,0.4116464227411303,0.36551637893351613
